DFF 1.0									
									
	IG-XL Version		8.30.02_uflx (P402) 03.07.19.12.16						
	Test Program		\\adblntap.adbldesign.analog.com\PTEAMS\00_Projects\13_ADIN1300\03_Debug\prgm\ADIN1300.xlsm						
	Date		43635.6423611111						
	User		vsomasun						
	Computer Name		ADBL-UFLX-070						
	Computer OS		Windows 7 Service Pack 1						
	Computer Speed		~3292 MhzGenuineIntel Intel64 Family 6 Model 45 Stepping 7 (8 Processor(s))						
	Computer Memory		8310344 KB RAM						
	Job		ADIN1200_A0_CHAR						
	Channel Map		ChanMap_pkg32_eng						
	Part								
	Environment								
	Sites		1						
									
									
	Total Execution Time		59.8960540055019						
									
	Flow Step	Line	Total	PreBody	Body	PostBody	TName	TNum	
	VOD_100BaseT	12	0.144589044058688	0	0	0			
	VOD_10BaseT	19	0.185193336963637	0	0	0			
	ADC_DC_Offset	32	3.18093041499158	0	0	0			
	return	75	0.0000232664402352256	0	0	0			
	call	178	0.0000285542679433703	0	0	0		4000	
	PowerSupply_SftPd	5	0.167250494646077	0	0	0			
	PowerSupply_RGMII_100T	29	0.670321633653125	0	0	0			
	PowerSupply_RGMII_10T	37	0.687436464422974	0	0	0			
	PowerSupply_MII_100T	45	0.693646862095059	0	0	0			
	PowerSupply_MII_10T	53	0.674548473978635	0	0	0			
	PowerSupply_RMII_100T	61	0.894142922507672	0	0	0			
	PowerSupply_RMII_10T	69	0.70198265530479	0	0	0			
	return	77	0.0000223332937489218	0	0	0			
	call	179	0.0000260658797687441	0	0	0		5000	
	MLS_Spd_Cfg_Threshold	5	2.46147360549923	0	0	0			
	MLS_Auto_MDIX_Cfg_Threshold	12	0.600996973186536	0	0	0			
	VOH_level_8mA	26	0.301537046983101	0	0	0			
	VOH_level_4mA	28	0.0414406405624893	0	0	0			
	VOL_level_8mA	34	0.0673401077647386	0	0	0			
	VOL_level_4mA	36	0.0386648422639849	0	0	0			
	VOL_MDIO_level_4mA	38	0.10412223465955	0	0	0			
